2019 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [24310 04/07/2019 13:22:53      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","311","Flynn","5211","Ambrose","33458","IND","Independent","PETERSON","Murray","4","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","1","50.000"
"QLD","311","Flynn","5211","Ambrose","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","11","28.950"
"QLD","311","Flynn","5211","Ambrose","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","27","71.050"
"QLD","311","Flynn","5211","Ambrose","17322","IND","Independent","SCOTT","Duncan George","6","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","0","0.000"
"QLD","311","Flynn","5211","Ambrose","17322","IND","Independent","SCOTT","Duncan George","6","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","1","100.000"
"QLD","311","Flynn","5211","Ambrose","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","2","20.000"
"QLD","311","Flynn","5211","Ambrose","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","8","80.000"
"QLD","311","Flynn","5214","Bajool","0","","","First Preferences","","0","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","32","29.360"
"QLD","311","Flynn","5214","Bajool","0","","","First Preferences","","0","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","77","70.640"
"QLD","311","Flynn","5214","Bajool","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","3","50.000"
"QLD","311","Flynn","5214","Bajool","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","3","50.000"
"QLD","311","Flynn","5214","Bajool","33192","GRN","Queensland Greens","BAKER","Jaiben","3","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","0","0.000"
"QLD","311","Flynn","5214","Bajool","33192","GRN","Queensland Greens","BAKER","Jaiben","3","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","0","0.000"
"QLD","311","Flynn","5214","Bajool","33458","IND","Independent","PETERSON","Murray","4","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","1","20.000"
"QLD","311","Flynn","5214","Bajool","33458","IND","Independent","PETERSON","Murray","4","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","4","80.000"
"QLD","311","Flynn","5214","Bajool","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","12","28.570"
"QLD","311","Flynn","5214","Bajool","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","30","71.430"
"QLD","311","Flynn","5214","Bajool","17322","IND","Independent","SCOTT","Duncan George","6","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","2","66.670"
"QLD","311","Flynn","5214","Bajool","17322","IND","Independent","SCOTT","Duncan George","6","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","1","33.330"
"QLD","311","Flynn","5214","Bajool","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","2","22.220"
"QLD","311","Flynn","5214","Bajool","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","7","77.780"
"QLD","311","Flynn","5215","Baralaba","0","","","First Preferences","","0","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","125","86.810"
"QLD","311","Flynn","5215","Baralaba","0","","","First Preferences","","0","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","19","13.190"
"QLD","311","Flynn","5215","Baralaba","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","2","50.000"
"QLD","311","Flynn","5215","Baralaba","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","2","50.000"
"QLD","311","Flynn","5215","Baralaba","33192","GRN","Queensland Greens","BAKER","Jaiben","3","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","1","50.000"
"QLD","311","Flynn","5215","Baralaba","33192","GRN","Queensland Greens","BAKER","Jaiben","3","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","1","50.000"
"QLD","311","Flynn","5215","Baralaba","33458","IND","Independent","PETERSON","Murray","4","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","1","100.000"
"QLD","311","Flynn","5215","Baralaba","33458","IND","Independent","PETERSON","Murray","4","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","0","0.000"
"QLD","311","Flynn","5215","Baralaba","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","7","30.430"
"QLD","311","Flynn","5215","Baralaba","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","16","69.570"
"QLD","311","Flynn","5215","Baralaba","17322","IND","Independent","SCOTT","Duncan George","6","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","0","0.000"
"QLD","311","Flynn","5215","Baralaba","17322","IND","Independent","SCOTT","Duncan George","6","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","6","100.000"
"QLD","311","Flynn","5215","Baralaba","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","0","0.000"
"QLD","311","Flynn","5215","Baralaba","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","1","100.000"
"QLD","311","Flynn","5216","Baree","0","","","First Preferences","","0","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","67","28.390"
"QLD","311","Flynn","5216","Baree","0","","","First Preferences","","0","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","169","71.610"
"QLD","311","Flynn","5216","Baree","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","3","33.330"
"QLD","311","Flynn","5216","Baree","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","6","66.670"
"QLD","311","Flynn","5216","Baree","33192","GRN","Queensland Greens","BAKER","Jaiben","3","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","9","81.820"
"QLD","311","Flynn","5216","Baree","33192","GRN","Queensland Greens","BAKER","Jaiben","3","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","2","18.180"
"QLD","311","Flynn","5216","Baree","33458","IND","Independent","PETERSON","Murray","4","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","2","40.000"
"QLD","311","Flynn","5216","Baree","33458","IND","Independent","PETERSON","Murray","4","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","3","60.000"
"QLD","311","Flynn","5216","Baree","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","41","40.590"
"QLD","311","Flynn","5216","Baree","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","60","59.410"
