2019 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:40 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
NSW,103,Banks,K,2,32704,"McALEAR, Joel",Socialist Alliance,SAL,N,N,0,0,0,0,0,0
NSW,103,Banks,K,9998,0,Unapportioned,Socialist Alliance,SAL,N,N,51,0,0,0,0,51
NSW,103,Banks,L,0,33796,L Ticket Votes,The Together Party,TTP,N,N,13,0,0,0,0,13
NSW,103,Banks,L,1,32344,"SWIVEL, Mark",The Together Party,TTP,N,N,0,0,0,0,0,0
NSW,103,Banks,L,2,32362,"KINKEAD, Belinda",The Together Party,TTP,N,N,0,0,0,0,0,0
NSW,103,Banks,L,3,32378,"McDOWELL, Kate",The Together Party,TTP,N,N,0,0,0,0,0,0
NSW,103,Banks,L,9998,0,Unapportioned,The Together Party,TTP,N,N,44,0,0,0,0,44
NSW,103,Banks,M,0,33789,M Ticket Votes,Australian Conservatives,ACP,N,N,48,0,0,0,0,48
NSW,103,Banks,M,1,32115,"YORK, Sophie",Australian Conservatives,ACP,N,N,0,0,0,0,0,0
NSW,103,Banks,M,2,32119,"BOSI, Riccardo",Australian Conservatives,ACP,N,N,0,0,0,0,0,0
NSW,103,Banks,M,9998,0,Unapportioned,Australian Conservatives,ACP,N,N,261,0,0,0,0,261
NSW,103,Banks,N,0,33818,N Ticket Votes,The Great Australian Party,GAP,N,N,15,0,0,0,0,15
NSW,103,Banks,N,1,33282,"HOPKINS, Matthew",The Great Australian Party,GAP,N,N,0,0,0,0,0,0
NSW,103,Banks,N,2,33301,"BURGE, Karen",The Great Australian Party,GAP,N,N,0,0,0,0,0,0
NSW,103,Banks,N,9998,0,Unapportioned,The Great Australian Party,GAP,N,N,60,0,0,0,0,60
NSW,103,Banks,O,0,33806,O Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,42,0,0,0,0,42
NSW,103,Banks,O,1,32973,"THOMSON, Carolyn",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
NSW,103,Banks,O,2,32975,"YOUNG, Gary",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
NSW,103,Banks,O,3,32976,"SWANN, Paul",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
NSW,103,Banks,O,4,32978,"WHARTON, Ian",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
NSW,103,Banks,O,9998,0,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,150,0,0,0,0,150
NSW,103,Banks,P,0,33816,P Ticket Votes,Christian Democratic Party (Fred Nile Group),CDP,N,N,446,0,0,0,0,446
NSW,103,Banks,P,1,33078,"NILE, Silvana",Christian Democratic Party (Fred Nile Group),CDP,N,N,0,0,0,0,0,0
NSW,103,Banks,P,2,33083,"WRIGHT, Annie",Christian Democratic Party (Fred Nile Group),CDP,N,N,0,0,0,0,0,0
NSW,103,Banks,P,9998,0,Unapportioned,Christian Democratic Party (Fred Nile Group),CDP,N,N,1329,0,0,0,0,1329
NSW,103,Banks,Q,0,33794,Q Ticket Votes,Independents For Climate Action Now,ICAN,N,N,25,0,0,0,0,25
NSW,103,Banks,Q,1,32154,"BOWER, Rod",Independents For Climate Action Now,ICAN,N,N,0,0,0,0,0,0
NSW,103,Banks,Q,2,32159,"TAIT, Jim",Independents For Climate Action Now,ICAN,N,N,0,0,0,0,0,0
NSW,103,Banks,Q,3,32162,"SCHNEIDER, Annette",Independents For Climate Action Now,ICAN,N,N,0,0,0,0,0,0
NSW,103,Banks,Q,9998,0,Unapportioned,Independents For Climate Action Now,ICAN,N,N,173,0,0,0,0,173
NSW,103,Banks,R,0,33808,R Ticket Votes,Liberal Democrats,LDP,N,N,339,0,0,0,0,339
NSW,103,Banks,R,1,32979,"SPENDER, Duncan",Liberal Democrats,LDP,N,Y,0,0,0,0,0,0
NSW,103,Banks,R,2,32980,"NEVILLE, Codie",Liberal Democrats,LDP,N,N,0,0,0,0,0,0
NSW,103,Banks,R,9998,0,Unapportioned,Liberal Democrats,LDP,N,N,988,0,0,0,0,988
NSW,103,Banks,S,0,33791,S Ticket Votes,Pauline Hanson's One Nation,ON,N,N,514,0,0,0,0,514
NSW,103,Banks,S,1,32110,"McCULLOCH, Kate",Pauline Hanson's One Nation,ON,N,N,0,0,0,0,0,0
NSW,103,Banks,S,2,32111,"REED, Barry",Pauline Hanson's One Nation,ON,N,N,0,0,0,0,0,0
NSW,103,Banks,S,9998,0,Unapportioned,Pauline Hanson's One Nation,ON,N,N,1495,0,0,0,0,1495
NSW,103,Banks,T,0,33795,T Ticket Votes,The Women's Party,TWP,N,N,49,0,0,0,0,49
NSW,103,Banks,T,1,32136,"De VENDRE, Divvi",The Women's Party,TWP,N,N,0,0,0,0,0,0
NSW,103,Banks,T,2,32138,"LLOYD, Penelope",The Women's Party,TWP,N,N,0,0,0,0,0,0
NSW,103,Banks,T,9998,0,Unapportioned,The Women's Party,TWP,N,N,137,0,0,0,0,137
NSW,103,Banks,U,0,33810,U Ticket Votes,Seniors United Party of Australia,SUN,N,N,22,0,0,0,0,22
NSW,103,Banks,U,1,32984,"GERANTONIS, Paul",Seniors United Party of Australia,SUN,N,N,0,0,0,0,0,0
NSW,103,Banks,U,2,32987,"DUCKER, Helen",Seniors United Party of Australia,SUN,N,N,0,0,0,0,0,0
