2019 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:54 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,113,Cowper,0,,,First Preferences,,0,32446,NP,The Nationals,CONAGHAN,Pat,2,49668,65.77
NSW,113,Cowper,33503,CDP,Christian Democratic Party (Fred Nile Group),MEADS,Ruth,1,29558,IND,Independent,OAKESHOTT,Robert,5,565,23.71
NSW,113,Cowper,33503,CDP,Christian Democratic Party (Fred Nile Group),MEADS,Ruth,1,32446,NP,The Nationals,CONAGHAN,Pat,2,1818,76.29
NSW,113,Cowper,33277,UAPP,United Australia Party,STEWART,Alexander,3,29558,IND,Independent,OAKESHOTT,Robert,5,1177,36.92
NSW,113,Cowper,33277,UAPP,United Australia Party,STEWART,Alexander,3,32446,NP,The Nationals,CONAGHAN,Pat,2,2011,63.08
NSW,113,Cowper,32606,ALP,Labor,WOODWARD,Andrew,4,29558,IND,Independent,OAKESHOTT,Robert,5,11001,75.6
NSW,113,Cowper,32606,ALP,Labor,WOODWARD,Andrew,4,32446,NP,The Nationals,CONAGHAN,Pat,2,3550,24.4
NSW,113,Cowper,33233,GRN,The Greens,EDWARDS,Lauren,6,29558,IND,Independent,OAKESHOTT,Robert,5,4847,77.38
NSW,113,Cowper,33233,GRN,The Greens,EDWARDS,Lauren,6,32446,NP,The Nationals,CONAGHAN,Pat,2,1417,22.62
NSW,113,Cowper,33314,AJP,Animal Justice Party,PEARCE,Kellie,7,29558,IND,Independent,OAKESHOTT,Robert,5,1338,61.49
NSW,113,Cowper,33314,AJP,Animal Justice Party,PEARCE,Kellie,7,32446,NP,The Nationals,CONAGHAN,Pat,2,838,38.51
NSW,113,Cowper,32366,IND,Independent,GREEN,Allan,8,29558,IND,Independent,OAKESHOTT,Robert,5,821,56.58
NSW,113,Cowper,32366,IND,Independent,GREEN,Allan,8,32446,NP,The Nationals,CONAGHAN,Pat,2,630,43.42
NSW,114,Cunningham,0,,,First Preferences,,0,32636,ALP,Labor,BIRD,Sharon,3,46923,60.08
NSW,114,Cunningham,0,,,First Preferences,,0,33210,LP,Liberal,ATLEE,Chris,1,31177,39.92
NSW,114,Cunningham,32581,GRN,The Greens,HUXTABLE,Rowan,2,32636,ALP,Labor,BIRD,Sharon,3,13312,87.6
NSW,114,Cunningham,32581,GRN,The Greens,HUXTABLE,Rowan,2,33210,LP,Liberal,ATLEE,Chris,1,1884,12.4
NSW,114,Cunningham,32234,NCP,Non-Custodial Parents Party (Equal Parenting),FLANAGAN,John,4,32636,ALP,Labor,BIRD,Sharon,3,591,48.72
NSW,114,Cunningham,32234,NCP,Non-Custodial Parents Party (Equal Parenting),FLANAGAN,John,4,33210,LP,Liberal,ATLEE,Chris,1,622,51.28
NSW,114,Cunningham,32550,SPP,Sustainable Australia,GILL,John,5,32636,ALP,Labor,BIRD,Sharon,3,1437,61.41
NSW,114,Cunningham,32550,SPP,Sustainable Australia,GILL,John,5,33210,LP,Liberal,ATLEE,Chris,1,903,38.59
NSW,114,Cunningham,32810,UAPP,United Australia Party,YOUNGER,Grace Louise,6,32636,ALP,Labor,BIRD,Sharon,3,1573,41.09
NSW,114,Cunningham,32810,UAPP,United Australia Party,YOUNGER,Grace Louise,6,33210,LP,Liberal,ATLEE,Chris,1,2255,58.91
NSW,115,Dobell,0,,,First Preferences,,0,32669,ALP,Labor,McBRIDE,Emma,5,42093,50.46
NSW,115,Dobell,0,,,First Preferences,,0,33134,LP,Liberal,PILON,Jilly,3,41326,49.54
NSW,115,Dobell,32822,UAPP,United Australia Party,HARPLEY-CARR,Aaron Gregory,1,32669,ALP,Labor,McBRIDE,Emma,5,1832,33.86
NSW,115,Dobell,32822,UAPP,United Australia Party,HARPLEY-CARR,Aaron Gregory,1,33134,LP,Liberal,PILON,Jilly,3,3579,66.14
NSW,115,Dobell,33525,CDP,Christian Democratic Party (Fred Nile Group),GRUNDY,Paula,2,32669,ALP,Labor,McBRIDE,Emma,5,388,20.77
NSW,115,Dobell,33525,CDP,Christian Democratic Party (Fred Nile Group),GRUNDY,Paula,2,33134,LP,Liberal,PILON,Jilly,3,1480,79.23
NSW,115,Dobell,32576,GRN,The Greens,RICKARD,Scott,4,32669,ALP,Labor,McBRIDE,Emma,5,6167,81.37
NSW,115,Dobell,32576,GRN,The Greens,RICKARD,Scott,4,33134,LP,Liberal,PILON,Jilly,3,1412,18.63
NSW,115,Dobell,28011,IND,Independent,STEPHENSON,Gregory Francis,6,32669,ALP,Labor,McBRIDE,Emma,5,1764,55.54
NSW,115,Dobell,28011,IND,Independent,STEPHENSON,Gregory Francis,6,33134,LP,Liberal,PILON,Jilly,3,1412,44.46
NSW,117,Eden-Monaro,0,,,First Preferences,,0,32831,ALP,Labor,KELLY,Mike,1,38878,51.42
NSW,117,Eden-Monaro,0,,,First Preferences,,0,33136,LP,Liberal,KOTVOJS,Fiona,2,36732,48.58
NSW,117,Eden-Monaro,32687,GRN,The Greens,McGINLAY,Pat,3,32831,ALP,Labor,KELLY,Mike,1,7582,87
NSW,117,Eden-Monaro,32687,GRN,The Greens,McGINLAY,Pat,3,33136,LP,Liberal,KOTVOJS,Fiona,2,1133,13
NSW,117,Eden-Monaro,32082,IND,Independent,SHELDON,David William,4,32831,ALP,Labor,KELLY,Mike,1,1087,48.38
NSW,117,Eden-Monaro,32082,IND,Independent,SHELDON,David William,4,33136,LP,Liberal,KOTVOJS,Fiona,2,1160,51.62
NSW,117,Eden-Monaro,32482,NP,The Nationals,WADE,Sophie,5,32831,ALP,Labor,KELLY,Mike,1,886,12.84
NSW,117,Eden-Monaro,32482,NP,The Nationals,WADE,Sophie,5,33136,LP,Liberal,KOTVOJS,Fiona,2,6013,87.16
NSW,117,Eden-Monaro,33535,CDP,Christian Democratic Party (Fred Nile Group),HARRIS,Thomas,6,32831,ALP,Labor,KELLY,Mike,1,230,19.88
NSW,117,Eden-Monaro,33535,CDP,Christian Democratic Party (Fred Nile Group),HARRIS,Thomas,6,33136,LP,Liberal,KOTVOJS,Fiona,2,927,80.12
