2016 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:43 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,102,Fenner,8803,Aranda,28983,GUNNING,Robert,3,N,N,LP,Liberal,690,0.7
ACT,102,Fenner,8805,Belconnen,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1911,1.07
ACT,102,Fenner,8805,Belconnen,28983,GUNNING,Robert,3,N,N,LP,Liberal,888,-1.07
ACT,102,Fenner,32464,Belconnen FENNER PPVC,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,9481,1.37
ACT,102,Fenner,32464,Belconnen FENNER PPVC,28983,GUNNING,Robert,3,N,N,LP,Liberal,5862,-1.37
ACT,102,Fenner,65505,BLV Fenner PPVC,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,19,15.76
ACT,102,Fenner,65505,BLV Fenner PPVC,28983,GUNNING,Robert,3,N,N,LP,Liberal,5,-15.76
ACT,102,Fenner,65695,Bonner,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1296,0.8
ACT,102,Fenner,65695,Bonner,28983,GUNNING,Robert,3,N,N,LP,Liberal,814,-0.8
ACT,102,Fenner,66142,Braddon (Fenner),28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1080,1.76
ACT,102,Fenner,66142,Braddon (Fenner),28983,GUNNING,Robert,3,N,N,LP,Liberal,377,-1.76
ACT,102,Fenner,8807,Charnwood,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1598,1.57
ACT,102,Fenner,8807,Charnwood,28983,GUNNING,Robert,3,N,N,LP,Liberal,840,-1.57
ACT,102,Fenner,66144,City (Fenner),28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,441,-1.51
ACT,102,Fenner,66144,City (Fenner),28983,GUNNING,Robert,3,N,N,LP,Liberal,173,1.51
ACT,102,Fenner,32465,City FENNER PPVC,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,4858,0.73
ACT,102,Fenner,32465,City FENNER PPVC,28983,GUNNING,Robert,3,N,N,LP,Liberal,2446,-0.73
ACT,102,Fenner,8809,Dickson,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,897,0.1
ACT,102,Fenner,8809,Dickson,28983,GUNNING,Robert,3,N,N,LP,Liberal,383,-0.1
ACT,102,Fenner,30093,Divisional Office (PREPOLL),28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,163,0.86
ACT,102,Fenner,30093,Divisional Office (PREPOLL),28983,GUNNING,Robert,3,N,N,LP,Liberal,71,-0.86
ACT,102,Fenner,82525,Downer,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1105,3.84
ACT,102,Fenner,82525,Downer,28983,GUNNING,Robert,3,N,N,LP,Liberal,343,-3.84
